Long.est,Lat.est
130.2244072,-12.78026159
130.3591216,-13.18385341
130.0448544,-13.31837738
129.8653614,-13.7219692
129.5062957,-14.08071305
129.5511839,-14.30492299
129.8204832,-14.39460895
129.5960622,-15.02241071
129.3716511,-14.88788674
129.3267629,-15.02241071
129.0125854,-14.75335281
128.6086316,-14.66366685
128.6086316,-14.93272474
128.2944541,-14.88788674
128.0251548,-15.38115457
128.0251548,-15.06725867
128.1597995,-14.52914288
127.8905002,-14.43945691
127.4416681,-13.85649317
127.0826024,-13.81165516
126.992836,-13.67712124
126.7235368,-14.03586509
126.4542375,-14.03586509
126.1849383,-14.12555106
126.0502936,-14.48429492
125.6912279,-14.48429492
125.1975077,-14.52914288
125.4668069,-14.88788674
125.1077412,-15.02241071
125.1975077,-15.42600253
124.7486756,-15.2914686
124.7037874,-15.60537445
124.7037874,-15.87443235
124.4793763,-16.05380428
124.5242545,-16.18832825
124.838442,-16.27801421
124.3896099,-16.27801421
124.0754225,-16.23317621
123.5817121,-16.32286217
123.6265904,-16.41254814
123.8958896,-16.771292
123.9407778,-16.95066393
123.7163568,-17.04034989
123.6265904,-17.35423583
122.908459,-16.5022341
122.5493933,-16.81613
122.1903277,-17.08514807
122.1454494,-17.53362767
122.3698605,-18.02690546
121.8761502,-18.3407914
121.6517292,-18.56498143
121.4721963,-19.05825921
121.1580188,-19.46184107
120.2154665,-19.77572702
119.5871015,-19.95511886
119.0933852,-19.95511886
118.8689702,-20.2690048
118.2406053,-20.31390254
117.5224739,-20.67258666
116.8043426,-20.62778848
116.1310895,-20.89687624
115.6373791,-21.34525629
114.6050603,-21.74883815
114.2908729,-22.37670959
114.0215736,-22.46640551
113.9766954,-21.88343181
NA,NA
144.9013012,-40.94167442
144.9013012,-40.89687624
145.6194127,-40.98657216
146.5170768,-41.3004581
147.1454119,-41.12106626
147.6391322,-41.03137034
148.1776908,-40.94167442
148.3572436,-40.94167442
148.44702,-41.43495221
148.4021816,-42.06272409
148.1776908,-42.24211593
148.0430761,-42.95958374
147.7289085,-42.86988782
147.5493558,-42.95958374
147.414741,-43.27356924
147.1454119,-43.31836742
147.0107971,-43.63225337
146.7863063,-43.63225337
146.4721388,-43.58745518
146.3375241,-43.40806334
145.9335802,-43.2286715
145.6194127,-42.95958374
145.4398599,-42.51120369
145.709189,-42.46630596
145.3950215,-42.01792591
145.1256924,-41.65914223
144.8563632,-41.21076218
145.3950215,-42.01792591
145.1256924,-41.65914223
144.8563632,-41.21076218
144.9013012,-40.94167442
NA,NA
137.6750498,-36.05379432
137.6750498,-36.05379432
137.1813295,-35.9640984
137.0915531,-35.78470656
137.540435,-35.69501064
137.7198881,-35.91930022
