PLOT,Rel.To.Brook,Transect,UTM_EASTING,UTM_NORTHING,PH,MOISTURE.pct,OM.pct,Cd,Cu,Ni,Cr,Co,Zn,Mn,Ca.pct,Ca,Mg.pct,Mg,Al.pct,Al,Fe.pct,Fe,P,S,B,Ti.pct,Ti,K.pct,K,Na.pct,Na,EXCH_Al,EXCH_As,EXCH_B,EXCH_Ca,EXCH_Cd,EXCH_Co,EXCH_Cr,EXCH_Cu,EXCH_Fe,EXCH_K,EXCH_Mg,EXCH_Mn,EXCH_Mo,EXCH_Ni,EXCH_P,EXCH_Pb,EXCH_Se,EXCH_Sr,EXCH_V,EXCH_Zn,SUM_BC,GRAVEL,SANDSILTCLAY,VERYCOARSESAND,COARSESAND,MEDIUMSAND,FINESAND,VERYFINESAND,SILTCLAY,DATE
56,North,E279000,279000,4868400,3.89,4.093,9.871,NA,12.2,8.271,23.469,11.476,12.406,341.276,0.444,4442,0.279,2794,3.11,31100,3.209,32097,323.286,NA,21.504,0.606,6065,1.119,11192,1.054,10545,1.0449609,1.98E-05,NA,0.018774341,6.96E-05,0.004105604,4.15E-05,0.000498699,0.119466476,0.01872045,0.011495134,0.00072415,NA,0.001734909,NA,0.002017279,NA,0.000578303,2.54E-06,0.001423878,0.002776864,10.999,89,0.861,7.229,19.714,18.906,10.404,32.028,1997/1998
57,North,E279000,279000,4868500,3.85,2.814,9.088,0.301,10.847,6.428,27.621,13.76,20.791,259.332,0.148,1480,0.187,1877,2.291,22918,2.47,24704,452.173,NA,23.904,0.675,6754,1.549,15496,1.004,10044,0.657325323,NA,NA,0.080049132,6.65E-05,0.002375788,NA,NA,0.089743819,0.036318262,0.017671528,0.004320973,NA,0.003358648,NA,0.002770998,NA,0.000636666,NA,0.003755011,0.006539506,12.413,87.586,2.27,12.264,16.448,13.248,6.633,36.685,1997/1998
58,North,E279000,279000,4868700,4.16,4.761,13.555,1.044,12.949,11.696,33.521,15.455,44.486,267.022,0.187,1870,0.306,3067,2.949,29498,3.407,34078,459.69,3.132,27.464,0.6,6003,1.259,12598,0.95,9503,0.741715732,NA,NA,0.088546805,9.89E-05,0.001935226,NA,NA,0.071588754,0.043143445,0.017993775,0.004066152,NA,0.003643962,NA,0.001776519,NA,0.000795054,NA,0.003688972,0.007157526,13.555,86.444,2.318,12.147,17.034,12.758,6.738,35.609,1997/1998
59,North,E279000,279000,4868800,4.23,4.45,14.446,0.406,15.509,12.569,27.673,15.712,64.57,542.81,0.253,2531,0.404,4040,3.333,33338,3.569,35694,514.934,49.06,20.171,0.657,6575,1.394,13943,0.932,9326,0.726486627,NA,NA,0.354337103,0.000139448,0.001436876,NA,0.000646542,0.033351236,0.036236357,0.033965297,0.07768635,NA,0.003181354,NA,0.002361479,NA,0.002358275,NA,0.009109215,0.02165321,11.049,88.95,2.701,15.355,18.5,9.62,6.197,36.592,1997/1998
60,North,E279000,279000,4869000,4.02,4.681,16.296,1.352,11.126,11.75,32.546,17.781,31.507,492.875,0.19,1900,0.365,3650,2.618,26188,3.974,39743,812.412,53.862,20.796,0.526,5265,1.275,12758,0.956,9566,0.748690183,NA,NA,0.086270837,0.000129193,0.001681046,6.92E-05,NA,0.031106534,0.056140207,0.022275478,0.056139999,1.40E-05,0.003041912,NA,0.00285458,0.000005897,0.000499912,3.64E-05,0.004205646,0.007744175,11.717,88.282,1.807,8.488,12.351,8.736,5.092,51.916,1997/1998
61,North,E279000,279000,4869100,4.34,2.423,8.55,NA,13.84,9.758,28.376,11.151,18.32,278.587,0.37,3695,0.349,3491,3.459,34598,1.939,19392,426.342,NA,19.315,0.457,4578,1.565,15657,1.115,11151,0.502464338,NA,NA,0.102288752,4.46E-05,0.00105042,9.62E-06,NA,0.038597614,0.027091483,0.013511532,0.00168905,9.44E-06,0.002241257,NA,0.001292763,4.61E-05,0.000555197,0.000011639,0.001921418,0.00704696,9.538,90.461,3.233,15.433,22.565,13.708,7.132,28.459,1997/1998
62,North,E279000,279000,4869300,4.22,3.878,12.389,1.394,13.943,9.86,30.376,12.648,33.363,241.013,0.124,1241,0.318,3180,3.046,30469,3.095,30959,618.267,NA,31.072,0.482,4824,1.88,18801,0.936,9362,0.706927411,NA,NA,0.227633063,0.000075295,0.000902656,NA,NA,0.032160882,0.040168816,0.022299665,0.008011471,NA,0.002553841,NA,0.001677404,NA,0.001403768,NA,0.003999037,0.014351143,11.777,88.222,2.827,14.604,18.836,11.975,5.348,34.593,1997/1998
63,North,E279000,279000,4869400,4.15,1.727,6.6,NA,10.681,9.752,12.538,8.359,15.603,153.246,0.112,1119,0.165,1652,1.923,19230,1.854,18542,421.566,NA,29.813,0.433,4339,2.073,20734,1.077,10774,0.332420847,NA,NA,0.050935853,6.00E-05,0.000695392,NA,NA,0.02451831,0.026339587,0.010624046,0.003270307,NA,0.005404474,NA,0.00176241,NA,0.000628179,NA,0.004839734,0.004176101,11.61,88.389,3.053,17.509,23.651,13.361,6.16,24.776,1997/1998
64,North,E279000,279000,4869600,4.14,4.864,15.844,0.72,21.197,16.361,32.824,11.936,61.121,255.391,0.149,1487,0.322,3226,3.095,30953,4.231,42317,685.911,32.618,30.045,0.537,5373,1.491,14916,0.833,8335,0.690155139,NA,NA,0.146479593,8.76E-05,0.001625708,1.97E-05,NA,0.058784127,0.042687384,0.021019225,0.014088336,0.000001514,0.003358782,NA,0.002366653,NA,0.000983348,1.79E-05,0.004083338,0.010274653,19.658,80.341,4.722,16.544,16.658,9.198,5.919,27.429,1997/1998
65,North,E279000,279000,4869700,4.09,2.793,8.599,0.103,6.896,10.087,20.482,11.116,22.232,253.608,0.261,2609,0.242,2425,3.389,33896,2.46,24608,675.808,0.308,21.511,0.471,4717,1.994,19945,1.08,10807,0.352980688,NA,NA,0.112443154,6.12E-05,0.000863637,NA,NA,0.02919349,0.035803125,0.015870394,0.009110212,6.14E-06,0.001928633,NA,0.001594311,2.87E-05,0.000736244,6.56E-06,0.002550329,0.007927495,13.129,86.87,2.755,13.749,19.042,11.845,4.332,35.1,1997/1998
66,North,E279000,279000,4869900,4.14,3.522,12.213,0.199,9.348,10.939,20.883,10.939,32.021,369.827,0.268,2675,0.271,2718,3.327,33274,3.323,33231,653.834,6.961,20.684,0.541,5415,1.893,18938,0.944,9447,0.505805532,NA,NA,0.127986918,0.000119493,0.000838364,6.92E-06,NA,0.022195024,0.040070063,0.02008291,0.007054804,3.01E-06,0.003362005,NA,0.00185273,NA,0.000959445,2.85E-05,0.004585311,0.009180785,15.375,84.624,4.199,17.312,19.013,11.252,5.262,27.6,1997/1998
67,North,E279000,279000,4870000,4.66,8.256,15.425,0.609,14.082,15.212,25.556,22.948,56.848,393.85,0.139,1390,0.337,3373,2.206,22061,3.361,33616,1143.825,248.948,22.252,0.443,4432,1.611,16118,1.069,10692,0.373823455,NA,NA,0.11755952,0.000114517,0.001112746,NA,0.000334343,0.001936238,0.038907715,0.01770861,0.022502582,NA,0.001983489,NA,0.001019066,NA,0.000995938,NA,0.003410821,0.008559718,7.122,92.877,3.886,20.44,21.921,12.002,6.033,28.979,1997/1998
68,North,E279000,279000,4870200,4.65,5.119,12.229,1.483,9.177,14.739,28.643,13.719,57.009,331.762,0.232,2323,0.34,3400,2.638,26383,2.934,29348,925.671,31.053,11.957,0.409,4090,1.728,17285,1.279,12792,0.390139226,NA,NA,0.273538503,0.000130452,0.000887848,NA,0.000110788,0.004457961,0.054349708,0.029654094,0.035035504,NA,0.001612212,NA,0.001176728,4.28E-05,0.002157585,NA,0.006134179,0.017697501,2.974,97.025,1.624,13.378,23.567,16.928,7.12,34.324,1997/1998
69,North,E279000,279000,4870300,4.46,4.929,9.529,1.735,2.653,11.022,26.84,11.022,52.047,256.971,0.18,1804,0.365,3655,2.768,27682,3.08,30803,848.78,1.53,19.084,0.434,4342,2.231,22315,1.306,13063,0.34436279,5.17E-05,NA,0.102709733,7.90E-05,0.000597675,NA,8.75E-05,0.003394182,0.0349473,0.016781464,0.009915808,NA,0.002694258,NA,0.001594269,NA,0.00096543,NA,0.003679883,0.007617228,9.184,90.815,3.549,16.221,23.048,13.319,7.829,27.181,1997/1998
70,North,E279000,279000,4870500,4.15,3.015,8.119,1.049,16.688,11.708,17.038,9.174,34.774,242.544,0.32,3197,0.302,3021,3.54,35405,2.776,27769,599.283,22.367,17.823,0.438,4381,2.167,21672,1.301,13018,0.386919328,NA,NA,0.11441444,0.000117063,0.00098462,NA,0.000211101,0.024494895,0.033683514,0.015803974,0.007466613,NA,0.002359621,NA,0.0022116,NA,0.000913649,NA,0.004432039,0.008102991,8.745,91.254,2.636,14.703,20.892,13.495,6.939,32.42,1997/1998
