"Sample","Group","Core","range","Type","Easting","Northing","Depth_upper","Depth_lower","pH","EC","Microplastics_fragments","Microplastics_fibres","Microplastics_other","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Depth_lower.log","Depth_lower.pow","pH.pow","EC.pow","Cr.pow","Cu.pow","Fe.pow","Al.pow","As.log","Ba.log","Ca.pow","Cd.pow","Ce.log","Gd.log","K.log","La.log","Mg.pow","Mn.pow","Mo.pow","Na.log","Nd.log","Ni.pow","P.pow","Pb.log","S.pow","Sr.pow","Th.log","V.pow","Y.pow","Zn.log","pH.log","EC.log","Al.log","As.pow","Ba.pow","Ca.log","Cd.log","Ce.pow","Cr.log","Cu.log","Fe.log","Gd.pow","K.pow","La.pow","Mg.log","Mn.log","Mo.log","Na.pow","Nd.pow","Ni.log","P.log","Pb.pow","S.log","Sr.log","Th.pow","V.log","Y.log","Zn.pow"
"08.2.1","8","8","0-10","Sediment",391383,6466506,0,10,4.48,69.48,"0",0,0,2933,1.8,9.1,1070,NA,5.7,5.3,2.8,4050,0.71,246,3.2,438,35,0.21,102,3.02,1.51,90,10.4,114,5,2.55,11.3,5.84,13.7,1,1.10089730326019,180.24258066767,2.1403360033524,1.84336932771682,-0.83531546858279,5.79113457107517,42.6308677926274,0.255272505103306,0.959041392321094,2.97284231655306,NA,0.755874855672491,-0.148741651280925,2.39093510710338,0.505149978319906,3.87730009421294,2.92275476083689,-1.76045826475717,2.00860017176192,0.480006942957151,-0.81603885687842,8.65260114340795,1.01703333929878,-0.422575167472239,1.03295634051007,0.406540180433955,2.99486238340514,1.56352607093842,1.13672056715641,0.651278013998144,1.84185980977506,3.46731206298055,-0.912533333998364,-0.844493552455904,3.02938377768521,NA,1.00626377470065,0.724275869600789,0.447158031342219,3.60745502321467,-1.12146591456828,-0.562893678885909,1.03042624558858,2.6414741105041,1.54406804435028,-0.677780705266081,2.64871791123693,1.14582446420331,0.178976947293169,1.95424250943932,-0.799963706339639,2.05690485133647,0.698970004336019,-0.859695991204351,1.05307844348342,0.766412847112399,-0.787898127956386
"08.2.2","8","8","10-20","Sediment",391383,6466506,10,20,5.65,32.18,"0",0,0,2625,1.2,13.3,763,NA,4.6,9.2,NA,3094,0.51,264,2.7,493,26.3,0.11,101,2.48,1.6,54,24.7,87,4.6,1.92,8.9,6.3,12.8,1.30102999566398,1.13321900474121,402.62425214928,1.86424827353712,2.25656649946237,NA,5.47064926225518,40.4647687011833,0.0791812460476248,1.12385164096709,2.81989753188208,NA,0.662757831681574,-0.292429823902064,2.42160392686983,0.431363764158987,3.98084668848521,2.68134040906104,-2.22534049458198,2.00432137378264,0.394451680826216,-0.793063208866096,6.77267580468699,1.39269695325967,-0.44386742718185,1.03122256743093,0.28330122870355,2.68826296341817,1.59383934562498,1.10720996964787,0.752048447819439,1.50758603976301,3.41912930774198,-0.972007969519899,-0.82031753776788,2.88252453795488,NA,1.00549001963651,0.963787827345555,NA,3.49052030936335,-1.25279693149547,-0.558759680003487,1.02592487130272,2.69284691927723,1.41995574848976,-0.958607314841775,2.64322748317517,1.11835845856483,0.204119982655925,1.73239375982297,-0.736660126262548,1.93951925261862,0.662757831681574,-0.900010645745227,0.949390006644913,0.799340549453582,-0.792789385612586
"08.3.1","8","8","0-10","Sediment",391383,6466491,0,10,5.48,75.83,"495",495,0,2493,1.4,5.5,581,0.01,3,5.1,3.2,2637,0.41,141,1.6,225,15.8,0.09,65,1.71,1.16,62,9.5,131,3,1.28,6.9,2.26,19.1,1,1.10089730326019,362.195807117015,2.17418688240707,1.81754808197359,-0.816047266677167,5.28886788747825,39.4952796343208,0.146128035678238,0.740362689494244,2.70238987248534,-2.33349292785712,0.477121254719662,-0.387216143280265,2.14921911265538,0.204119982655925,3.34252192776301,2.29928992482437,-2.39320244669404,1.81291335664286,0.232996110392154,-0.929400568997204,7.23655684349687,0.977723605288848,-0.412026291303653,1.0223802164164,0.107209969647868,2.39588957630131,1.22937132396432,1.28103336724773,0.738780558484369,1.87984105598656,3.39672227850377,-0.948953237792824,-0.877674932488464,2.76417613239033,-2,1.00394924911493,0.707570176097936,0.505149978319906,3.42111012979343,-1.34774302969287,-0.596564598766791,1.01218488448713,2.35218251811136,1.19865708695442,-1.04575749056068,2.40891611527309,1.06830684805037,0.0644579892269184,1.79239168949825,-0.806894491051372,2.11727129565576,0.477121254719662,-0.960917030952229,0.838849090737255,0.354108439147401,-0.764410046087629
"08.3.2","8","8","10-20","Sediment",391383,6466491,10,20,6.55,52.3,"0",0,0,2083,1.2,4.4,525,NA,3.6,5.2,NA,3175,0.45,134,2,266,17.4,0.08,44,1.79,1.24,41,22.1,99,3.3,1.35,8.7,1.57,9.9,1.30102999566398,1.13321900474121,671.81121610065,2.03398622242083,1.83053732500345,NA,5.50062403773257,36.296747456163,0.0791812460476248,0.643452676486187,2.65994609563221,NA,0.556302500767287,-0.346787486224656,2.12710479836481,0.301029995663981,3.469539816964,2.3671793560257,-2.49756593230566,1.64345267648619,0.252853030979893,-0.899321901013923,5.93474398949235,1.34439227368511,-0.43355808120487,1.02434526595052,0.130333768495006,2.6607652217311,1.12102272739,0.99563519459755,0.816241299991783,1.71850168886727,3.31868926994775,-0.972007969519899,-0.892793559913802,2.72015930340596,NA,1.004606158917,0.716003343634799,NA,3.50174372962799,-1.30639651133646,-0.599743904121439,1.01802176794083,2.42488163663107,1.2405492482826,-1.09691001300806,2.21886658381735,1.07433966087441,0.0934216851622351,1.61278385671974,-0.744510633400758,1.99563519459755,0.518513939877887,-0.952689682964302,0.939519252618618,0.195899652409234,-0.811558450682196
"08.3.3","8","8","20-25","Sediment",391383,6466491,20,25,6.88,48.64,NA,NA,NA,3052,2.3,30.5,1434,0.01,7,9.3,18,4263,0.76,230,3.6,450,26.9,0.24,82,3.93,2.06,119,120.7,350,6.6,1.27,17.5,3.9,26.8,1.39794000867204,1.14382486438238,796.504395267156,2.0076802872897,2.26553079350898,-0.603416190979528,5.85423831193485,43.4352842808486,0.361727836017593,1.48429983934679,3.11196250315045,-2.33349292785712,0.845098040014257,-0.119186407719209,2.36172783601759,0.556302500767287,3.90071995344465,2.69964855644194,-1.67729565794103,1.91381385238372,0.594392550375427,-0.700115339123233,9.8927627652029,2.08170727009735,-0.344589472654595,1.03875024021613,0.103803720955957,3.65012834702754,1.41154800285413,1.42813479402879,0.837588438235511,1.68699356626468,3.48458452928284,-0.878357711873979,-0.769828180553767,3.15654915133178,-2,1.00700573253404,0.968482948553935,1.25527250510331,3.62971533264713,-1.0962093239452,-0.566859099069865,1.03355842411965,2.65321251377534,1.42975228000241,-0.619788758288394,2.52972057344173,1.18360264141785,0.313867220369153,2.07554696139253,-0.63328633617511,2.54406804435028,0.819543935541869,-0.962134948792154,1.24303804868629,0.591064607026499,-0.741188584194549
"08.4","8","8","0-10","Sediment",391338,6466502,0,10,5.34,44.18,"7925",495,495,1667,14.6,5,703,0.09,4,4.5,16.2,3835,0.55,75,1.9,147,9,5.63,58,2.17,1.22,48,90.5,4136,3.4,0.85,6.4,1.97,60.5,1,1.10089730326019,331.141343022624,1.97333225881186,1.73600680469498,-0.61463029342311,5.72472585662206,32.6882027510208,1.16435285578444,0.698970004336019,2.78405381745188,-1.55748104984846,0.602059991327962,-0.259637310505756,1.8750612633917,0.278753600952829,3.04008462818318,1.94027031928696,-0.534586473289213,1.76342799356294,0.33645973384853,-0.906564640842157,6.4007426323357,1.9566485792052,-0.219907805174505,1.02496153330576,-0.0705810742857073,2.31573255332899,1.1873474570549,1.78175537465247,0.727541257028556,1.64522571153542,3.22193559982801,-0.658697377934565,-0.884100897979303,2.84695532501982,-1.04575749056068,1.00498597182854,0.653212513775344,1.20951501454263,3.583765368285,-1.22153110759659,-0.637198832152318,1.0166770899316,2.16731733474818,0.954242509439325,0.750508394851346,2.35179496169631,1.10011651919171,0.0863598306747482,1.68124123737559,-0.650907090962768,3.61658053008589,0.531478917042255,-1.02659381982703,0.806179973983887,0.294466226161593,-0.688211239708892
"08.5.1","8","8","0-10","Sediment",391326,6466482,0,10,6.23,67.01,"999",0,1998,591,0.9,5.4,158,0.02,2,1.5,3,812,NA,56,1.1,65,5.3,0.14,38,0.94,NA,19,20.2,753,NA,NA,1.7,0.63,16.8,1,1.10089730326019,564.806449094887,2.12648002780218,1.16031958673349,-0.825303854833082,4.12286621422837,20.0777971346134,-0.0457574905606751,0.732393759822969,2.20504403109903,-2.05407356338647,0.301029995663981,NA,1.7481880270062,0.0413926851582251,2.53468072205313,1.65382362470267,-2.03911015719832,1.57978359661681,-0.0268721464003014,NA,4.10411519858074,1.30535136944662,-0.299769792767765,NA,NA,1.27129767898842,0.889569931578585,1.22530928172586,0.79448804665917,1.82613961793591,2.77158748088126,-1.01654216468154,-0.878908419986959,2.19865708695442,-1.69897000433602,1.00248988614776,0.176091259055681,0.477121254719662,2.90955602924118,NA,-0.656928970504541,1.00245901023727,1.81291335664286,0.724275869600789,-0.853871964321762,2.15140267614521,0.99240833253666,NA,1.27875360095283,-0.750916678083622,2.8767949762007,NA,NA,0.230448921378274,-0.200659450546418,-0.773395444035711
"08.5.12","8","8","0-10","Sediment",391326,6466482,0,10,6.23,67.01,"999",0,1998,608,0.9,5,159,0.02,1.8,1.5,4.8,801,NA,53,1,66,5.5,0.16,37,0.9,NA,19,20.8,753,NA,0.64,1.6,0.64,16.6,1,1.10089730326019,564.806449094887,2.12648002780218,1.16031958673349,-0.760221199674839,4.11099330166652,20.3472133497606,-0.0457574905606751,0.698970004336019,2.20721807381513,-2.05407356338647,0.255272505103306,NA,1.72427586960079,0,2.54331748661422,1.67240721838863,-1.94278426316682,1.56820172406699,-0.0457574905606751,NA,4.10411519858074,1.31806333496276,-0.299769792767765,NA,-0.193820026016113,1.23690668781738,0.893125065424557,1.22010808804006,0.79448804665917,1.82613961793591,2.78390357927274,-1.01654216468154,-0.884100897979303,2.20139712432045,-1.69897000433602,1.0021110165783,0.176091259055681,0.681241237375587,2.90363251608424,NA,-0.660715421847314,1,1.81954393554187,0.740362689494244,-0.795880017344075,2.13935285402557,0.987107532464867,NA,1.27875360095283,-0.748824800473637,2.8767949762007,NA,-1.07473499487443,0.204119982655925,-0.193820026016113,-0.774239496439474
"09.01","9","9","0-20","Sediment",391387,6466402,0,20,8.2,117,"0",0,0,609,1.5,6.9,213,0.01,1.9,1.3,4.7,1313,NA,109,1.1,55,4.3,0.13,134,0.98,NA,15,11.5,1295,NA,0.83,1.5,0.69,12,1.30102999566398,1.13321900474121,1462.89500230221,2.35012670844073,1.10099725430425,-0.763023577445378,4.56382311814389,20.3629362758659,0.176091259055681,0.838849090737255,2.31035734509814,-2.33349292785712,0.278753600952829,NA,2.03742649794062,0.0413926851582251,2.44207347425633,1.55272915919803,-2.09461554614423,2.12710479836481,-0.00877392430750515,NA,3.66427751887382,1.06069784035361,-0.271619718853696,NA,-0.0809219076239261,1.20131720352261,0.910303481668793,1.07918124604762,0.913813852383717,2.06818586174616,2.78461729263288,-0.938812605054142,-0.862572654062377,2.32837960343874,-2,1.00230542090425,0.113943352306837,0.672097857935718,3.11826472608948,NA,-0.612811288559263,1.00245901023727,1.74036268949424,0.633468455579587,-0.886056647693163,2.80539635830239,0.997514909203726,NA,1.17609125905568,-0.792334890424162,3.11226976841727,NA,-1.03054903512767,0.176091259055681,-0.161150909262745,-0.797463141941991
"09.02","9","9","0-15","Sediment",391383,6466407,0,15,7.06,136.5,"999.5",0,0,1849,3.3,13,542,0.11,4.6,5,25.6,3154,0.58,119,2.2,217,9.3,0.46,126,2.24,2.4,77,98.5,2900,3.4,0.85,7,2.48,68,1.17609125905568,1.11969066084699,871.040582206776,2.41603617941546,1.80439653097426,-0.567391662717145,5.49291123607961,34.3196456451583,0.518513939877887,1.11394335230684,2.67321912397645,-1.50102130366605,0.662757831681574,-0.236572006437063,2.07554696139253,0.342422680822206,3.31566904859669,1.95955786410285,-1.32499905856845,2.10037054511756,0.350248018334163,-0.649295135316191,8.02891155699476,1.99343623049761,-0.234575324918003,1.02496153330576,-0.0705810742857073,2.41153522604642,1.25863726956248,1.83250891270624,0.848804701051804,2.13513265137677,3.26693691115917,-0.830341122377739,-0.821751230052396,2.73399928653839,-0.958607314841775,1.00549001963651,0.698970004336019,1.40823996531185,3.49886168899288,-1.20000823231264,-0.607222168084248,1.02052509388995,2.33645973384853,0.968482948553935,-0.337242168318426,2.76925959350347,1.10442661430993,0.380211241711606,1.88649072517248,-0.645673417352232,3.46239799789896,0.531478917042255,-1.02659381982703,0.845098040014257,0.394451680826216,-0.680924944346382
"09.03","9","9","0-20","Sediment",391390,6466400,0,20,7.42,71.2,"0",0,0,2537,2.1,21.7,729,0.05,3.7,6.9,24.5,2468,0.38,134,1.9,190,11.4,0.23,72,1.94,1.97,70,52.1,594,4.9,0.91,4.8,2,29.8,1.30102999566398,1.13321900474121,1034.79043761754,2.14974783159431,2.03062432083539,-0.571763566265337,5.21531597503737,39.8214008319363,0.322219294733919,1.33645973384853,2.79989117248131,-1.73537661323584,0.568201724066995,-0.42021640338319,2.12710479836481,0.278753600952829,3.21894867849552,2.08368443736423,-1.70336592269044,1.85733249643127,0.287801729930226,-0.715714943913807,7.6702060378274,1.71683772329952,-0.312984165967438,1.03253599355688,-0.0409586076789064,2.03315442340659,1.19190103230609,1.47421626407626,0.870403905279027,1.85247999363686,3.40432046722173,-0.890889261246844,-0.790149511618085,2.86272752831797,-1.30102999566398,1.00470491535137,0.838849090737255,1.38916608436453,3.3923451553612,-1.38246065517069,-0.599743904121439,1.0166770899316,2.27875360095283,1.05690485133647,-0.638272163982407,2.46136992600358,1.08504043318539,0.294466226161593,1.84509804001426,-0.686079583324906,2.77378644498119,0.690196080028514,-1.01534749153868,0.681241237375587,0.301029995663981,-0.734060281456129
